epoch,step,train_loss
0,49,0.3490763008594513
0,99,0.2684636414051056
0,149,0.18488508462905884
0,199,0.14361917972564697
0,249,0.12705473601818085
0,299,0.11953958868980408
0,349,0.11289788037538528
0,399,0.10148341208696365
0,449,0.09695988893508911
0,499,0.08739329129457474
0,549,0.08018366992473602
0,599,0.07277032732963562
0,649,0.07173450291156769
0,699,0.076952263712883
0,749,0.06747252494096756
0,799,0.056581977754831314
0,849,0.06031396985054016
0,899,0.05331432819366455
0,949,0.05664075165987015
0,999,0.059326171875
0,1049,0.057127695530653
0,1099,0.05151565000414848
0,1149,0.0517578125
0,1199,0.04858379065990448
0,1249,0.051272209733724594
